huc12,huc12_name,centroid_xy,comid,nord,to_huc12,outlet_comid,from_huc12s,inlet_comids,outlet_comids,huc10,huc08,in_drb,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_red1,tp_load_red1,tss_load_red1,tn_load_red2,tp_load_red2,tss_load_red2,tn_load_red3,tp_load_red3,tss_load_red3,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
020402020201,Friendship Creek,[-74.6302563   39.86611518],4490976,67908,020402020204,4490976,,,[4490976 4490974],0204020202,02040202,True,8792.9317,30333.522926196812,1686.3352972200437,1939845.8627601957,4983.03909383591,424.775993679416,1.5490470585900589,14.342999342520013,721.899086414925,-124744.8602866391,-1464.249523459372,-6183064.441699804,0.0,0.0,0.0,0.0,0.0,0.0,0.18332730150065402,0.031140350600061262,15.644270430676215,-124744.8602866391,-1464.249523459372,-6183064.441699804,-124744.8602866391,-1464.249523459372,-6183064.441699804,-124745.0436139406,-1464.2806638099723,-6183080.085970234
020402020202,Barton Run-Southwest Branch Rancocas Creek,[-74.86429126  39.84868216],4491284,67725,020402020203,4491284,,,[4491284 4491274],0204020202,02040202,True,12166.9459,82964.74669517891,6958.744737703373,11586467.487736039,40908.89419942911,3263.676748675495,0.0,0.0,0.0,-165633.9140172502,-76.68523997212161,346642.8653160385,0.03613071390003597,0.008174675599999404,51.35401046319748,0.03613071390003597,0.008174675599999404,51.35401046319748,7.3194740187005625,1.2149042691999046,680.8709598519104,-165633.95014796412,-76.69341464772161,346591.5113055753,-165633.95014796412,-76.69341464772161,346591.5113055753,-165641.2334912689,-77.90014424132156,345961.9943561867
020402020203,Little Creek-Southwest Branch Rancocas Creek,[-74.79044862  39.89516055],4490858,67705,020402020204,4490858,['020402020202'],[4491284],[4490858],0204020202,02040202,True,7638.3682,57957.90090178935,2802.9856786448568,3767100.691931692,29749.374313124852,408.00086423276923,6.311028804970135,53.2736028396199,2227.474934707323,-102178.4185853355,27.090672412087486,-3289223.8512283075,0.0,0.0,0.0,0.0,0.0,0.0,5.250882056105743,0.9149195274000297,456.42251401471594,-102178.4185853355,27.090672412087486,-3289223.8512283075,-102178.4185853355,27.090672412087486,-3289223.8512283075,-102183.6694673916,26.17575288468747,-3289680.2737423223
020402020204,Jade Run-South Branch Rancocas Creek,[-74.74779128  39.93816913],4492218,67694,020402020302,4492218,['020402020201' '020402020203'],[4490976 4490858],[4492218],0204020202,02040202,True,14827.6053,72057.00409595198,7304.858867534713,11892137.938541936,4374.76654779048,1340.0029677422597,2.246994505350358,18.085530208599792,756.2626590780565,-185424.98492283848,1368.2982567924528,-1805603.8375980638,0.0,0.0,0.0,0.0,0.0,0.0,4.510089562397848,0.8573004282000412,367.09502536423065,-185424.98492283848,1368.2982567924528,-1805603.8375980638,-185424.98492283848,1368.2982567924528,-1805603.8375980638,-185429.4950124009,1367.4409563642525,-1805970.9326234278
020402020301,Poquessing Creek,[-74.98810084  40.10630362],4488242,68256,020402020305,4488242,,,[4488242],0204020203,02040202,True,5587.3181,66487.96527870941,2894.5470423550037,4483130.284485607,0.0,0.0,0.0,0.0,0.0,-28887.55468829059,1162.4784313550035,-678434.1762943924,0.0,0.0,0.0,0.0,0.0,0.0,65.30332768380023,54.205284707400025,2159.7848460574296,-28887.55468829059,1162.4784313550035,-678434.1762943924,-28887.55468829059,1162.4784313550035,-678434.1762943924,-28952.858015974387,1108.2731466476034,-680593.9611404499
020402020302,Rancocas Creek,[-74.89025909  40.00722812],4499344,67674,020402020305,4499344,['020402020104' '020402020204'],[932040307   4492218],[4499344],0204020203,02040202,True,8397.677800000001,224325.61953048353,11994.533706722452,13309574.81541201,159750.37006810584,7592.299122381414,0.0,0.0,0.0,-78773.11058362233,1798.9544663410377,5551800.063772009,0.0,0.0,0.0,0.0,0.0,0.0,18.757158562894148,3.0903126771896083,1669.1966413337532,-78773.11058362233,1798.9544663410377,5551800.063772009,-78773.11058362233,1798.9544663410377,5551800.063772009,-78791.86774218523,1795.8641536638484,5550130.867130675
020402020303,Upper Pennypack Creek,[-75.10096583  40.1672313 ],4488998,76494,020402020304,4488998,,,[4488998],0204020203,02040202,True,7123.6616,59334.796512179266,5717.784222275576,6302710.642338249,16443.964946121858,2268.258942100773,0.0,0.0,0.0,-78710.07194594259,1241.1901841748036,-278127.94374175015,155.05605189139987,39.70857363920003,42895.410573293026,155.05605189139987,39.70857363920003,42895.410573293026,190.34907898049877,68.69475984000087,44164.703596093044,-78865.12799783399,1201.4816105356035,-321023.35431504314,-78865.12799783399,1201.4816105356035,-321023.35431504314,-78900.4210249231,1172.4954243348027,-322292.6473378432
020402020304,Lower Pennypack Creek,[-75.05400814  40.08957111],4489040,76483,020402020305,4489040,['020402020303'],[4488998],[4489040],0204020203,02040202,True,7383.2748,255838.66133324485,6130.694846246707,9822020.755485766,2398.38904709626,346.011032840329,0.0,0.0,0.0,127407.77145014858,3495.8686254063778,3001351.495245766,0.0,0.0,0.0,0.0,0.0,0.0,34.636845698407626,26.001231416399765,1536.0592418426659,127407.77145014858,3495.8686254063778,3001351.495245766,127407.77145014858,3495.8686254063778,3001351.495245766,127373.13460445018,3469.867393989978,2999815.436003923
020402020305,Swede Run-Delaware River,[-74.95248966  40.0268136 ],4488286,67672,020402020403,4488286,['020402010407' '020402020301' '020402020302' '020402020304'],[4485575 4488242 4499344 4489040],[4488286 4488288 4489194],0204020203,02040202,True,4570.8639,29097.0868294531,1457.4801857266293,2476474.502178034,0.0,0.0,0.0,0.0,0.0,-48927.559943546905,40.51237672662931,-1746089.5686419662,0.0,0.0,0.0,0.0,0.0,0.0,50.86772983250076,46.47669628960009,777.5623656457692,-48927.559943546905,40.51237672662931,-1746089.5686419662,-48927.559943546905,40.51237672662931,-1746089.5686419662,-48978.4276733794,-5.964319562970779,-1746867.131007612
020402020401,Pennsauken Creek,[-74.96808086  39.94236323],4495856,76526,020402020403,4495856,,,[4495856],0204020204,02040202,True,9164.658300000001,162632.23489061696,18103.487215206365,12906490.181671847,100715.90808764815,13792.361078494276,0.0,0.0,0.0,-94524.39037803121,1470.0820637120896,4440178.844131846,0.0,0.0,0.0,0.0,0.0,0.0,16.32129707140325,2.6933511411997184,1429.80516023565,-94524.39037803121,1470.0820637120896,4440178.844131846,-94524.39037803121,1470.0820637120896,4440178.844131846,-94540.7116751026,1467.3887125708898,4438749.03897161
