"comid","in_drb","huc08"
9444493,f,"02040301"
9444497,f,"02040301"
9444503,f,"02040301"
9444521,f,"02040301"
9444531,f,"02040301"
9444539,f,"02040301"
9444545,f,"02040301"
9444553,f,"02040301"
9444563,f,"02040301"
9444565,f,"02040301"
9444567,f,"02040301"
9444581,f,"02040301"
9444589,f,"02040301"
9444591,f,"02040301"
9444597,f,"02040301"
9444603,f,"02040301"
9444605,f,"02040301"
9444619,f,"02040301"
9444625,f,"02040301"
9444655,f,"02040301"
9444659,f,"02040301"
9444661,f,"02040301"
9444667,f,"02040301"
9444669,f,"02040301"
9444673,f,"02040301"
9444675,f,"02040301"
9444677,f,"02040301"
9444725,f,"02040301"
9444727,f,"02040301"
9444731,f,"02040301"
9444733,f,"02040301"
9444739,f,"02040301"
9444763,f,"02040301"
9444795,f,"02040301"
9444801,f,"02040301"
9444809,f,"02040301"
9444841,f,"02040301"
9444843,f,"02040301"
9444851,f,"02040301"
9444915,f,"02040301"
9444917,f,"02040301"
9444923,f,"02040301"
9444949,f,"02040301"
9444963,f,"02040301"
9444967,f,"02040301"
9444969,f,"02040301"
9444971,f,"02040301"
9444973,f,"02040301"
9444977,f,"02040301"
9444989,f,"02040301"
9444993,f,"02040301"
9445015,f,"02040301"
9445017,f,"02040301"
9445019,f,"02040301"
9445021,f,"02040301"
9445033,f,"02040301"
9445041,f,"02040301"
9445045,f,"02040301"
9445061,f,"02040301"
9445063,f,"02040301"
9445069,f,"02040301"
9445071,f,"02040301"
9445075,f,"02040301"
9445077,f,"02040301"
9445085,f,"02040301"
9445087,f,"02040301"
9445089,f,"02040301"
9445091,f,"02040301"
9445097,f,"02040301"
9445099,f,"02040301"
9445101,f,"02040301"
9445105,f,"02040301"
9445107,f,"02040301"
9445111,f,"02040301"
9445113,f,"02040301"
9445117,f,"02040301"
9445119,f,"02040301"
9445121,f,"02040301"
9445123,f,"02040301"
9445125,f,"02040301"
9445127,f,"02040301"
9445129,f,"02040301"
9445131,f,"02040301"
9445135,f,"02040301"
9445137,f,"02040301"
9445139,f,"02040301"
9445147,f,"02040301"
9445155,f,"02040301"
9445157,f,"02040301"
9445161,f,"02040301"
9445167,f,"02040301"
9445171,f,"02040301"
9445173,f,"02040301"
9445175,f,"02040301"
9445189,f,"02040301"
9445195,f,"02040301"
9445205,f,"02040301"
9445211,f,"02040301"
9445213,f,"02040301"
9445215,f,"02040301"
9445217,f,"02040301"
9445219,f,"02040301"
9445221,f,"02040301"
9445223,f,"02040301"
9445225,f,"02040301"
9445227,f,"02040301"
9445229,f,"02040301"
9445235,f,"02040301"
9445239,f,"02040301"
